"MAPUNIT,C,68","PROVINCE,C,2","MU_GROUP,C,4","SN_GROUP,C,6"
PEPED103Ch:6-Go:2-Sc:1/DC,PE,PE75,1
PEPED103Ch:6-Go:3/CD,PE,PE75,1
PEPED103Ch:6-Ma:1-Sc:1/DC,PE,PE75,1
PEPED103Ch:6-Ma:1-Wn:1/C,PE,PE75,1
PEPED103Ch:6-Ma:2-Al:1/DC,PE,PE75,1
PEPED103Ch:6-Ma:2/C,PE,PE75,1
PEPED103Ch:6-Ma:2/CB,PE,PE75,1
PEPED103Ch:6-Ma:3/CD,PE,PE75,1
PEPED103Ch:6-Ma:3/CE,PE,PE75,1
PEPED103Ch:6-Ma:3/DC,PE,PE75,1
PEPED103Ch:6-Ol:2/B,PE,PE75,1
PEPED103Ch:6-Ol:3/B,PE,PE75,1
PEPED103Ch:6-Sc:2/DB,PE,PE75,1
PEPED103Ch:6-Sp:3/B,PE,PE75,1
PEPED103Ch:6-Ti:3/C,PE,PE75,1
PEPED103Ch:6-Ti:3/CD,PE,PE75,1
PEPED103Ch:6-Ti:4/C,PE,PE75,1
PEPED103Ch:6-Ti:4/EC,PE,PE75,1
PEPED103Ch:7-Al:2/BD,PE,PE75,1
PEPED103Ch:7-Al:2/C,PE,PE75,1
PEPED103Ch:7-Al:2/CB,PE,PE75,1
PEPED103Ch:7-Al:2/CD,PE,PE75,1
PEPED103Ch:7-Al:2/DC,PE,PE75,1
PEPED103Ch:7-Al:2/ED,PE,PE75,1
PEPED103Ch:7-Al:2/F,PE,PE75,1
PEPED103Ch:7-Em:2/C,PE,PE75,1
PEPED103Ch:7-Go:2/CD,PE,PE75,1
PEPED103Ch:7-Ha:1/CD,PE,PE75,1
PEPED103Ch:7-Ha:2/C,PE,PE75,1
PEPED103Ch:7-Ma:1/CB,PE,PE75,1
PEPED103Ch:7-Ma:2/B,PE,PE75,1
PEPED103Ch:7-Ma:2/C,PE,PE75,1
PEPED103Ch:7-Ma:2/CB,PE,PE75,1
PEPED103Ch:7-Ma:2/D,PE,PE75,1
PEPED103Ch:7-Ma:3/C,PE,PE75,1
PEPED103Ch:7-Mg:2/C,PE,PE75,1
PEPED103Ch:7-Ti:1/C,PE,PE75,1
PEPED103Ch:7-Ti:1/DE,PE,PE75,1
PEPED103Ch:7-Ti:2-Ol:1/B,PE,PE75,1
PEPED103Ch:7-Ti:2/C,PE,PE75,1
PEPED103Ch:7-Ti:2/CD,PE,PE75,1
PEPED103Ch:7-Wn:2/DC,PE,PE75,1
PEPED103Ch:8-Al:1-Ab:1/BC,PE,PE75,1
PEPED103Ch:8-Al:1-Sc:1/FD,PE,PE75,1
PEPED103Ch:8-Al:1/B,PE,PE75,1
PEPED103Ch:8-Al:1/BC,PE,PE75,1
PEPED103Ch:8-Al:1/C,PE,PE75,1
PEPED103Ch:8-Al:1/CD,PE,PE75,1
PEPED103Ch:8-Al:1/DC,PE,PE75,1
PEPED103Ch:8-Al:1/DE,PE,PE75,1
PEPED103Ch:8-Al:1/ED,PE,PE75,1
PEPED103Ch:8-Al:1/FD,PE,PE75,1
PEPED103Ch:8-Al:1/FE,PE,PE75,1
PEPED103Ch:8-Al:2/C,PE,PE75,1
PEPED103Ch:8-Ald:2/CD,PE,PE75,1
PEPED103Ch:8-Cu:1/DC,PE,PE75,1
PEPED103Ch:8-Go:1/BC,PE,PE75,1
PEPED103Ch:8-Go:1/C,PE,PE75,1
PEPED103Ch:8-Go:1/CD,PE,PE75,1
PEPED103Ch:8-Go:1/DC,PE,PE75,1
PEPED103Ch:8-Go:2/C,PE,PE75,1
PEPED103Ch:8-Ma:1-Wn:1/C,PE,PE75,1
PEPED103Ch:8-Ma:1/B,PE,PE75,1
PEPED103Ch:8-Ma:1/C,PE,PE75,1
PEPED103Ch:8-Ma:1/CB,PE,PE75,1
PEPED103Ch:8-Ma:1/CD,PE,PE75,1
PEPED103Ch:8-Ma:1/DC,PE,PE75,1
PEPED103Ch:8-Ma:2/C,PE,PE75,1
PEPED103Ch:8-Ma:2/DC,PE,PE75,1
PEPED103Ch:8-Mp:1/D,PE,PE75,1
PEPED103Ch:8-Ol:1/B,PE,PE75,1
PEPED103Ch:8-Sc:1/EC,PE,PE75,1
PEPED103Ch:8-Ti:1/B,PE,PE75,1
PEPED103Ch:8-Ti:1/C,PE,PE75,1
PEPED103Ch:8-Ti:1/CB,PE,PE75,1
PEPED103Ch:8-Ti:1/DC,PE,PE75,1
PEPED103Ch:8-Ti:2/C,PE,PE75,1
PEPED103Ch:8-Wn:1/CB,PE,PE75,1
PEPED103Ch:9-Ma:1/CB,PE,PE75,1
PEPED103Ch:9-Mp:1/CB,PE,PE75,1
PEPED103Ch:9-Ol:1/C,PE,PE75,1
PEPED103Ch:9-Ti:1/C,PE,PE75,1
PEPED103Chd/C,PE,PE75,1
PEPED103Chd/CD,PE,PE75,1
PEPED103Chd/CE,PE,PE75,1
PEPED103Chd/D,PE,PE75,1
PEPED103Chd/DC,PE,PE75,1
PEPED103Chd/DE,PE,PE75,1
