"MAPUNIT,C,68","PROVINCE,C,2","MU_GROUP,C,4","SN_GROUP,C,6"
PEPED103Wn:4-Ma:4-Sc:1(dp/CB,PE,PE75,1
PEPED103Wn:4-Sc:2-Ma:1(dp/CB,PE,PE75,1
PEPED103Wn:4-Sc:2-Or:2(dp/CB,PE,PE75,1
PEPED103Wn:4-Sm:3(dp/B,PE,PE75,1
PEPED103Wn:4-Ui:2-Sc:1(dp/BC,PE,PE75,1
PEPED103Wn:5-Cr:3-Pi:1(dp/C,PE,PE75,1
PEPED103Wn:5-Cr:3-Rp:2(dp/C,PE,PE75,1
PEPED103Wn:5-Ma:2(dp/B,PE,PE75,1
PEPED103Wn:5-Ma:3(dp/C,PE,PE75,1
PEPED103Wn:5-Ma:3-Sc:1(dp/C,PE,PE75,1
PEPED103Wn:5-Ma:3-Sc:1(dp/CB,PE,PE75,1
PEPED103Wn:5-Ma:4(dp/CB,PE,PE75,1
PEPED103Wn:5-Sc:3-Ma:1(dp/C,PE,PE75,1
PEPED103Wn:5-Sm:2(dp/B,PE,PE75,1
PEPED103Wn:6-Cr:3(dp/B,PE,PE75,1
PEPED103Wn:6-Cr:3(dp/BC,PE,PE75,1
PEPED103Wn:6-Ma:2(dp/B,PE,PE75,1
PEPED103Wn:6-Ma:2(dp/C,PE,PE75,1
PEPED103Wn:6-Ma:2(dp/CB,PE,PE75,1
PEPED103Wn:6-Ma:3(dp/B,PE,PE75,1
PEPED103Wn:6-Ma:3(dp/BC,PE,PE75,1
PEPED103Wn:6-Sc:3(dp/C,PE,PE75,1
PEPED103Wn:6-Ui:2(dp/BC,PE,PE75,1
PEPED103Wn:7-Cr:3(dp/B,PE,PE75,1
PEPED103Wn:7-Cr:3(dp/C,PE,PE75,1
PEPED103Wp(dp/B,PE,PE75,1
PEPED103Wp:3-Db:2-Ha:2/B,PE,PE75,1
PEPED103Wp:3-Lr:2-Bp:2(dp/B,PE,PE75,1
PEPED103Wp:4-Br:2-Hab:1(dp/CB,PE,PE75,1
PEPED103Wp:4-Ha:3-Sp:2(dp/B,PE,PE75,1
PEPED103Wp:5-Db:3(dp/B,PE,PE75,1
PEPED103Wp:5-Lr:3/B,PE,PE75,1
PEPED103Wp:5-Ol:3(dp/B,PE,PE75,1
PEPED103Wp:6-Bp:3(dp/B,PE,PE75,1
PEPED103Wp:6-Sp3(dp/B,PE,PE75,1
PEPED103Wp:6-Sp:3(dp/CB,PE,PE75,1
PEPED103Wp:8-Db:1-Ha:1(dp/BC,PE,PE75,1
PEPED103Wp:8-Db:2(dp/B,PE,PE75,1
PEPED103Wp:8-Sp:2(dp/B,PE,PE75,1
PEPED103ZZ,PE,PE75,1
